,Day & Time,car_n 0,car_v_mean 0,truck_n 0,truck_v_mean 0,Y
0,day0 0:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
1,day1 1:0,0.0,0.0,0.0,0.0,1.0-35.55-0.0-0.0
2,day1 2:0,3.0,35.52,0.0,0.0,1.0-37.29-0.0-0.0
3,day1 3:0,2.0,30.0,0.0,0.0,3.0-33.7-0.0-0.0
4,day1 4:0,5.0,31.31,0.0,0.0,2.0-25.72-0.0-0.0
5,day1 5:0,2.0,35.36,0.0,0.0,5.0-29.63-0.0-0.0
6,day1 6:0,7.0,37.87,1.0,19.67,7.0-29.85-0.0-0.0
7,day1 7:0,9.0,32.11,1.0,20.4,8.0-36.07-0.0-0.0
8,day1 8:0,13.0,32.79,1.0,31.78,3.0-32.17-2.0-29.55
9,day1 9:0,10.0,30.14,2.0,30.25,9.0-27.88-1.0-17.17
10,day1 10:0,11.0,28.95,0.0,0.0,6.0-23.55-1.0-17.68
11,day1 11:0,6.0,29.01,0.0,0.0,10.0-25.35-0.0-0.0
12,day1 12:0,6.0,31.4,0.0,0.0,9.0-24.9-0.0-0.0
13,day1 13:0,4.0,30.2,0.0,0.0,8.0-21.15-1.0-17.4
14,day1 14:0,3.0,31.9,0.0,0.0,6.0-25.84-0.0-0.0
15,day1 15:0,5.0,35.64,0.0,0.0,6.0-28.01-0.0-0.0
16,day1 16:0,6.0,35.91,1.0,39.21,7.0-34.53-0.0-0.0
17,day1 17:0,9.0,32.9,0.0,0.0,7.0-35.93-1.0-26.94
18,day1 18:0,15.0,32.21,0.0,0.0,7.0-30.57-0.0-0.0
19,day1 19:0,14.0,28.26,0.0,0.0,5.0-24.44-0.0-0.0
20,day1 20:0,8.0,26.61,0.0,0.0,8.0-23.98-0.0-0.0
21,day1 21:0,3.0,28.66,0.0,0.0,10.0-25.35-0.0-0.0
22,day1 22:0,2.0,37.57,0.0,0.0,10.0-24.3-0.0-0.0
23,day1 23:0,5.0,30.11,0.0,0.0,5.0-21.97-0.0-0.0
24,day2 0:0,2.0,31.95,0.0,0.0,5.0-25.1-0.0-0.0
25,day2 1:0,1.0,37.57,1.0,31.69,3.0-26.54-0.0-0.0
26,day2 2:0,3.0,30.67,0.0,0.0,1.0-26.29-1.0-28.68
