,time,car_n 1,car_v_mean 1,truck_n 1,truck_v_mean 1,Y
0,day1 0:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
1,day1 0:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
2,day1 0:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
3,day1 0:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
4,day1 0:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
5,day1 0:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
6,day1 0:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
7,day1 0:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
8,day1 0:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
9,day1 0:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
10,day1 0:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
11,day1 0:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
12,day1 1:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
13,day1 1:5,1.0,28.56,0.0,0.0,0.0-0.0-0.0-0.0
14,day1 1:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
15,day1 1:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
16,day1 1:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
17,day1 1:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
18,day1 1:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
19,day1 1:35,0.0,0.0,0.0,0.0,1.0-28.56-0.0-0.0
20,day1 1:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
21,day1 1:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
22,day1 1:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
23,day1 1:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
24,day1 2:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
25,day1 2:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
26,day1 2:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
27,day1 2:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
28,day1 2:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
29,day1 2:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
30,day1 2:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
31,day1 2:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
32,day1 2:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
33,day1 2:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
34,day1 2:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
35,day1 2:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
36,day1 3:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
37,day1 3:5,2.0,33.87,0.0,0.0,0.0-0.0-0.0-0.0
38,day1 3:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
39,day1 3:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
40,day1 3:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
41,day1 3:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
42,day1 3:30,0.0,0.0,0.0,0.0,1.0-28.44-0.0-0.0
43,day1 3:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
44,day1 3:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
45,day1 3:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
46,day1 3:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
47,day1 3:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
48,day1 4:0,1.0,31.12,0.0,0.0,0.0-0.0-0.0-0.0
49,day1 4:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
50,day1 4:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
51,day1 4:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
52,day1 4:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
53,day1 4:25,1.0,28.45,0.0,0.0,0.0-0.0-0.0-0.0
54,day1 4:30,0.0,0.0,0.0,0.0,1.0-30.78-0.0-0.0
55,day1 4:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
56,day1 4:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
57,day1 4:45,0.0,0.0,0.0,0.0,1.0-33.05-0.0-0.0
58,day1 4:50,1.0,39.8,0.0,0.0,0.0-0.0-0.0-0.0
59,day1 4:55,1.0,32.75,0.0,0.0,0.0-0.0-0.0-0.0
60,day1 5:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
61,day1 5:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
62,day1 5:10,0.0,0.0,0.0,0.0,1.0-37.06-0.0-0.0
63,day1 5:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
64,day1 5:20,1.0,22.29,0.0,0.0,0.0-0.0-0.0-0.0
65,day1 5:25,1.0,34.92,0.0,0.0,0.0-0.0-0.0-0.0
66,day1 5:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
67,day1 5:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
68,day1 5:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
69,day1 5:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
70,day1 5:50,1.0,43.25,0.0,0.0,0.0-0.0-0.0-0.0
71,day1 5:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
72,day1 6:0,0.0,0.0,0.0,0.0,1.0-22.29-0.0-0.0
73,day1 6:5,1.0,28.27,0.0,0.0,0.0-0.0-0.0-0.0
74,day1 6:10,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
75,day1 6:15,0.0,0.0,0.0,0.0,1.0-25.88-0.0-0.0
76,day1 6:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
77,day1 6:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
78,day1 6:30,1.0,27.81,0.0,0.0,0.0-0.0-0.0-0.0
79,day1 6:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
80,day1 6:40,1.0,35.6,0.0,0.0,1.0-26.02-0.0-0.0
81,day1 6:45,1.0,27.34,0.0,0.0,0.0-0.0-0.0-0.0
82,day1 6:50,0.0,0.0,0.0,0.0,1.0-22.61-0.0-0.0
83,day1 6:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
84,day1 7:0,2.0,33.0,0.0,0.0,0.0-0.0-0.0-0.0
85,day1 7:5,0.0,0.0,0.0,0.0,1.0-24.56-0.0-0.0
86,day1 7:10,1.0,41.96,0.0,0.0,0.0-0.0-0.0-0.0
87,day1 7:15,1.0,26.72,0.0,0.0,1.0-21.16-0.0-0.0
88,day1 7:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
89,day1 7:25,0.0,0.0,0.0,0.0,1.0-18.93-0.0-0.0
90,day1 7:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
91,day1 7:35,1.0,30.14,0.0,0.0,1.0-15.1-0.0-0.0
92,day1 7:40,0.0,0.0,1.0,23.69,0.0-0.0-0.0-0.0
93,day1 7:45,0.0,0.0,0.0,0.0,1.0-14.66-0.0-0.0
94,day1 7:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
95,day1 7:55,1.0,23.39,0.0,0.0,0.0-0.0-0.0-0.0
96,day1 8:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
97,day1 8:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
98,day1 8:10,1.0,22.97,0.0,0.0,1.0-20.7-0.0-0.0
99,day1 8:15,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
100,day1 8:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
101,day1 8:25,2.0,29.63,0.0,0.0,0.0-0.0-0.0-0.0
102,day1 8:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
103,day1 8:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
104,day1 8:40,2.0,28.67,0.0,0.0,0.0-0.0-0.0-0.0
105,day1 8:45,0.0,0.0,0.0,0.0,1.0-32.49-0.0-0.0
106,day1 8:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
107,day1 8:55,2.0,30.86,0.0,0.0,1.0-24.45-0.0-0.0
108,day1 9:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
109,day1 9:5,1.0,42.79,0.0,0.0,1.0-25.12-0.0-0.0
110,day1 9:10,0.0,0.0,0.0,0.0,1.0-25.07-0.0-0.0
111,day1 9:15,1.0,27.28,1.0,21.12,0.0-0.0-0.0-0.0
112,day1 9:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
113,day1 9:25,0.0,0.0,0.0,0.0,2.0-23.63-0.0-0.0
114,day1 9:30,1.0,21.35,0.0,0.0,0.0-0.0-0.0-0.0
115,day1 9:35,1.0,37.65,0.0,0.0,0.0-0.0-0.0-0.0
116,day1 9:40,0.0,0.0,0.0,0.0,1.0-25.7-0.0-0.0
117,day1 9:45,1.0,21.11,0.0,0.0,0.0-0.0-0.0-0.0
118,day1 9:50,0.0,0.0,0.0,0.0,1.0-22.71-0.0-0.0
119,day1 9:55,2.0,24.26,0.0,0.0,0.0-0.0-0.0-0.0
120,day1 10:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
121,day1 10:5,1.0,20.21,0.0,0.0,1.0-22.54-0.0-0.0
122,day1 10:10,1.0,23.96,0.0,0.0,0.0-0.0-0.0-0.0
