,0,1,2,3
day0 0:0,"{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}"
day1 1:0,"{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}"
day1 2:0,"{'car': {'n': 3, 'v_mean': 33.96, 'v_total': 101.89301089260644}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 101.89301089260644, 'v_mean': 33.96, 'n': 3}","{'car': {'n': 2, 'v_mean': 39.23, 'v_total': 78.46971137353694}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 78.46971137353694, 'v_mean': 39.23, 'n': 2}","{'car': {'n': 1, 'v_mean': 36.84, 'v_total': 36.83531384156418}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 36.83531384156418, 'v_mean': 36.84, 'n': 1}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}"
day1 3:0,"{'car': {'n': 1, 'v_mean': 43.08, 'v_total': 43.07950634990955}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 43.07950634990955, 'v_mean': 43.08, 'n': 1}","{'car': {'n': 1, 'v_mean': 33.94, 'v_total': 33.93547196480457}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 33.93547196480457, 'v_mean': 33.94, 'n': 1}","{'car': {'n': 1, 'v_mean': 46.31, 'v_total': 46.311001348853225}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 46.311001348853225, 'v_mean': 46.31, 'n': 1}","{'car': {'n': 1, 'v_mean': 36.74, 'v_total': 36.736372504352495}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 36.736372504352495, 'v_mean': 36.74, 'n': 1}"
day1 4:0,"{'car': {'n': 3, 'v_mean': 31.39, 'v_total': 94.16783121568636}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 94.16783121568636, 'v_mean': 31.39, 'n': 3}","{'car': {'n': 3, 'v_mean': 36.35, 'v_total': 109.06336963959536}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 109.06336963959536, 'v_mean': 36.35, 'n': 3}","{'car': {'n': 2, 'v_mean': 38.36, 'v_total': 76.7236661243886}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 76.7236661243886, 'v_mean': 38.36, 'n': 2}","{'car': {'n': 1, 'v_mean': 47.57, 'v_total': 47.57405374535445}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 47.57405374535445, 'v_mean': 47.57, 'n': 1}"
day1 5:0,"{'car': {'n': 3, 'v_mean': 35.97, 'v_total': 107.92299050452749}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 107.92299050452749, 'v_mean': 35.97, 'n': 3}","{'car': {'n': 3, 'v_mean': 36.73, 'v_total': 110.2039853700758}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 110.2039853700758, 'v_mean': 36.73, 'n': 3}","{'car': {'n': 1, 'v_mean': 40.43, 'v_total': 40.43121171083658}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 40.43121171083658, 'v_mean': 40.43, 'n': 1}","{'car': {'n': 3, 'v_mean': 39.09, 'v_total': 117.26060363767883}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 117.26060363767883, 'v_mean': 39.09, 'n': 3}"
day1 6:0,"{'car': {'n': 5, 'v_mean': 30.83, 'v_total': 154.1361679478282}, 'truck': {'n': 1, 'v_mean': 23.55, 'v_total': 23.553477248981093}, 'v_total': 177.6896451968093, 'v_mean': 29.61, 'n': 6}","{'car': {'n': 4, 'v_mean': 30.3, 'v_total': 121.21030955061576}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 121.21030955061576, 'v_mean': 30.3, 'n': 4}","{'car': {'n': 3, 'v_mean': 35.16, 'v_total': 105.47433078855812}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 105.47433078855812, 'v_mean': 35.16, 'n': 3}","{'car': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 0, 'v_mean': 0, 'n': 0}"
day1 7:0,"{'car': {'n': 10, 'v_mean': 31.07, 'v_total': 310.6944602072756}, 'truck': {'n': 1, 'v_mean': 24.54, 'v_total': 24.53562531340519}, 'v_total': 335.2300855206808, 'v_mean': 30.48, 'n': 11}","{'car': {'n': 7, 'v_mean': 33.25, 'v_total': 232.74453524502974}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 232.74453524502974, 'v_mean': 33.25, 'n': 7}","{'car': {'n': 2, 'v_mean': 30.26, 'v_total': 60.519923916763524}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 60.519923916763524, 'v_mean': 30.26, 'n': 2}","{'car': {'n': 2, 'v_mean': 41.32, 'v_total': 82.63938982858261}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 82.63938982858261, 'v_mean': 41.32, 'n': 2}"
day1 8:0,"{'car': {'n': 11, 'v_mean': 28.41, 'v_total': 312.52916279155227}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 312.52916279155227, 'v_mean': 28.41, 'n': 11}","{'car': {'n': 8, 'v_mean': 27.02, 'v_total': 216.16938510628776}, 'truck': {'n': 2, 'v_mean': 18.27, 'v_total': 36.545111697535695}, 'v_total': 252.71449680382344, 'v_mean': 25.27, 'n': 10}","{'car': {'n': 5, 'v_mean': 24.74, 'v_total': 123.70212524231397}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 123.70212524231397, 'v_mean': 24.74, 'n': 5}","{'car': {'n': 3, 'v_mean': 28.12, 'v_total': 84.35760130516293}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 84.35760130516293, 'v_mean': 28.12, 'n': 3}"
day1 9:0,"{'car': {'n': 13, 'v_mean': 26.49, 'v_total': 344.33150672506065}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 344.33150672506065, 'v_mean': 26.49, 'n': 13}","{'car': {'n': 13, 'v_mean': 24.6, 'v_total': 319.79943646508343}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 319.79943646508343, 'v_mean': 24.6, 'n': 13}","{'car': {'n': 5, 'v_mean': 21.12, 'v_total': 105.59257952012837}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 105.59257952012837, 'v_mean': 21.12, 'n': 5}","{'car': {'n': 4, 'v_mean': 26.45, 'v_total': 105.80028631710775}, 'truck': {'n': 0, 'v_mean': 0, 'v_total': 0}, 'v_total': 105.80028631710775, 'v_mean': 26.45, 'n': 4}"
